,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
171,12,5,2,9,3.775089263916016,-1.0,2.208622360229492
172,4,10,12,5,5.1471028327941895,-1.0,3.7939271926879883
173,8,10,12,5,6.244746685028076,-1.0,5.038838243484498
174,7,12,1,2,1.58538556098938,-1.0,1.6420241594314575
175,6,12,1,2,2.52318811416626,-1.0,3.5621864795684814
176,10,12,1,2,4.489604949951172,-1.0,4.553610324859619
177,9,12,1,2,6.323719024658203,-1.0,6.8571394920349125
178,13,12,1,2,8.730154991149902,-1.0,10.0
179,11,8,14,13,3.9487192630767822,-1.0,3.761231708526611
180,10,8,14,13,5.290257453918457,-1.0,5.75376410484314
181,14,7,5,2,3.8132522106170654,-1.0,3.694138288497925
182,10,7,5,2,5.532820224761963,-1.0,4.160973978042603
183,13,7,10,9,1.68254554271698,-1.0,2.895996570587158
184,14,7,10,9,1.8244483470916748,-1.0,3.8998783111572264
185,15,7,10,9,8.221261024475098,-1.0,6.512540435791016
186,11,7,10,9,8.347267150878906,-1.0,10.0
187,3,5,15,0,4.366078853607178,-1.0,3.6278473854064943
188,2,5,15,0,5.14205265045166,-1.0,6.22647705078125
189,4,9,8,14,7.809786319732666,-1.0,6.224216270446777
190,5,9,8,14,8.026906967163086,-1.0,10.0
191,14,9,3,0,7.231401443481445,-1.0,6.378250598907471
192,13,2,12,11,3.9721741676330566,-1.0,4.54350848197937
193,4,2,12,11,4.123440742492676,-1.0,5.408666801452637
194,5,2,12,11,6.865150451660156,-1.0,6.866907024383545
195,1,2,12,11,8.741007804870605,-1.0,10.0
196,11,14,9,12,7.418401718139648,-1.0,6.0540307521820065
197,15,14,9,12,7.837811946868896,-1.0,10.0
198,13,4,3,9,2.585763931274414,-1.0,3.3779144287109375
199,12,4,3,9,5.122085571289063,-1.0,5.904418420791626
200,8,4,3,9,7.671576023101807,-1.0,10.0
201,9,12,15,2,6.864190578460693,-1.0,6.869332599639892
202,3,13,8,15,1.329076886177063,-1.0,3.2330571174621587
203,2,13,8,15,3.367349863052368,-1.0,3.1900108814239507
204,6,13,8,15,5.361068248748779,-1.0,4.557955932617188
205,9,12,14,7,6.079483509063721,-1.0,5.047619581222534
206,13,12,14,7,6.719577312469482,-1.0,10.0
207,5,2,13,3,7.004238605499268,-1.0,6.01691370010376
208,0,13,15,1,2.4696052074432373,-1.0,2.236046552658081
209,4,13,15,1,5.775145530700684,-1.0,3.470517158508301
210,12,13,15,1,6.964097499847412,-1.0,10.0
211,1,11,3,10,3.4105496406555176,-1.0,2.1872460126876834
212,2,11,3,10,3.54138445854187,-1.0,2.7941842079162598
213,11,9,2,6,5.719314098358154,-1.0,6.039446401596069
214,10,9,2,6,7.8216071128845215,-1.0,10.0
215,12,0,7,2,4.712068557739258,-1.0,1.9919511556625369
216,15,6,9,8,4.989528179168701,-1.0,3.370357036590576
217,11,6,9,8,6.646600246429443,-1.0,5.0151056289672855
218,7,6,9,8,6.683450698852539,-1.0,10.0
219,2,10,14,15,7.076318740844727,-1.0,6.735756874084473
220,6,10,14,15,8.595285415649414,-1.0,10.0
221,7,12,13,9,-3.4021785259246826,-1.0,-3.1036674737930294
222,6,12,13,9,-2.337408304214477,-1.0,-4.061960673332214
