,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
8088,1,6,7,2,7.480108737945557,-1.0,4.954928016662598
8089,5,6,7,2,6.616586685180664,-1.0,10.0
8090,0,8,6,14,7.499176979064941,-1.0,6.355112361907959
8091,4,8,6,14,8.172347068786621,-1.0,10.0
8092,13,8,12,14,6.813591003417969,-1.0,5.9704265117645265
8093,9,8,12,14,8.191771507263184,-1.0,10.0
8094,12,3,10,11,0.3270182013511657,-1.0,1.2012155532836917
8095,13,3,10,11,3.320864200592041,-1.0,1.6353772163391116
8096,9,3,10,11,3.4243407249450684,-1.0,2.937148094177246
8097,13,10,3,4,7.68101167678833,-1.0,6.2132368087768555
8098,9,10,3,4,8.014707565307617,-1.0,10.0
8099,4,11,6,3,3.309433698654175,-1.0,2.791059112548828
8100,5,11,6,3,4.121119976043701,-1.0,3.1302611351013185
8101,9,11,6,3,6.415542602539063,-1.0,5.803075981140137
8102,10,11,6,3,7.55897331237793,-1.0,10.0
8103,11,1,10,8,4.282888412475586,-1.0,2.7438518047332763
8104,7,1,10,8,4.955580234527588,-1.0,5.2147040367126465
8105,6,1,10,8,7.390571117401123,-1.0,5.390023946762085
8106,2,1,10,8,7.100026607513428,-1.0,10.0
8107,6,15,3,14,4.1015472412109375,-1.0,3.765467882156372
8108,7,15,3,14,6.536694049835205,-1.0,5.701288080215455
8109,11,15,3,14,7.445875644683838,-1.0,10.0
8110,14,3,8,9,4.989569664001465,-1.0,3.6279417991638185
8111,10,3,8,9,7.505187034606934,-1.0,5.047205448150635
8112,6,3,8,9,6.737334251403809,-1.0,7.33812952041626
8113,7,3,8,9,9.264588356018066,-1.0,10.0
8114,3,0,14,5,3.8983325958251953,-1.0,5.214054298400879
8115,2,0,14,5,5.77031946182251,-1.0,6.294063568115234
8116,1,0,14,5,8.104515075683594,-1.0,10.0
8117,4,14,8,10,2.8908228874206543,-1.0,1.572666311264038
8118,5,14,8,10,2.730422019958496,-1.0,4.330151844024658
8119,9,14,8,10,5.064879894256592,-1.0,5.928901195526123
8120,13,14,8,10,7.698779106140137,-1.0,10.0
8121,7,11,12,5,8.810385704040527,-1.0,10.0
8122,2,0,4,6,7.8687849044799805,-1.0,6.474435901641846
8123,10,4,1,12,5.41969108581543,-1.0,4.576034879684449
8124,13,8,0,5,4.258821964263916,-1.0,5.4134454250335695
8125,9,8,0,5,7.1260504722595215,-1.0,10.0
8126,12,3,11,8,1.3121901750564575,-1.0,0.20260553359985356
8127,13,3,11,8,2.336401462554932,-1.0,1.6878435850143432
8128,14,3,11,8,4.394885540008545,-1.0,2.9131961822509767
8129,10,3,11,8,6.481531143188477,-1.0,4.466329097747803
8130,6,3,11,8,8.91349983215332,-1.0,6.220084381103516
8131,2,3,11,8,8.022315979003906,-1.0,10.0
8132,11,5,0,6,5.565211296081543,-1.0,4.850457048416138
8133,11,0,1,14,1.1360673904418943,-1.0,1.798776960372925
8134,7,0,1,14,3.4623241424560547,-1.0,2.6270538330078126
8135,6,0,1,14,4.635613441467285,-1.0,4.214326333999634
8136,5,0,1,14,5.143274307250977,-1.0,5.976744937896728
8137,4,0,1,14,7.751938819885254,-1.0,10.0
8138,3,9,1,7,2.698540449142456,-1.0,1.3804296016693116
8139,2,9,1,7,6.026259422302246,-1.0,4.433425045013428
8140,6,9,1,7,6.481330871582031,-1.0,6.142410612106324
8141,10,9,1,7,7.936011791229248,-1.0,10.0
8142,6,14,3,11,7.104270935058594,-1.0,6.656772899627685
8143,1,9,8,10,6.925581932067871,-1.0,6.491666412353516
8144,5,9,8,10,8.324073791503906,-1.0,10.0
8145,10,9,0,8,7.544888973236084,-1.0,10.0
8146,12,7,5,15,1.6221708059310913,-1.0,1.4429353713989261
8147,8,7,5,15,3.7946560382843018,-1.0,3.305696487426758
8148,9,7,5,15,4.872486591339111,-1.0,5.341875076293945
8149,10,7,5,15,5.308798789978027,-1.0,6.2532124519348145
8150,11,7,5,15,8.059124946594238,-1.0,10.0
8151,9,0,13,12,4.451664447784424,-1.0,5.054133272171021
8152,5,0,13,12,4.205723762512207,-1.0,6.664960289001465
8153,1,0,13,12,8.516622543334961,-1.0,10.0
8154,3,1,5,13,6.304543972015381,-1.0,6.053017091751099
8155,2,1,5,13,7.836685657501221,-1.0,10.0
8156,1,11,6,9,1.5920007228851318,-1.0,0.8142354488372803
8157,5,11,6,9,2.015817165374756,-1.0,-8.438382291793824
8158,7,10,1,11,5.407868385314941,-1.0,5.647248649597168
8159,6,10,1,11,7.385831832885742,-1.0,10.0
8160,3,10,8,2,6.42075252532959,-1.0,4.297852897644043
8161,7,10,8,2,7.633881568908691,-1.0,7.060199451446534
8162,11,10,8,2,8.955777168273926,-1.0,10.0
8163,2,14,15,9,4.797357559204102,-1.0,4.468910884857178
8164,6,14,15,9,5.819775581359863,-1.0,6.080009555816651
8165,10,14,15,9,7.866677284240723,-1.0,10.0
8166,0,8,10,13,8.669198989868164,-1.0,6.7444257736206055
8167,4,8,10,13,6.854401111602783,-1.0,10.0
8168,14,1,12,8,3.9512643814086914,-1.0,3.1852378368377687
8169,10,1,12,8,4.367894649505615,-1.0,4.072529745101929
8170,6,1,12,8,6.875230312347412,-1.0,6.246545124053955
8171,5,1,12,8,8.051716804504395,-1.0,10.0
8172,10,1,15,4,5.12531042098999,-1.0,3.72751784324646
8173,6,1,15,4,6.911487102508545,-1.0,5.9644642829895025
8174,5,1,15,4,7.738293647766113,-1.0,10.0
8175,4,7,1,13,6.839257717132568,-1.0,6.018490839004516
8176,5,7,1,13,8.42106819152832,-1.0,7.142717933654787
8177,6,7,1,13,9.04746437072754,-1.0,10.0
